team	player	goals
Portugali	Cristiano Ronaldo	0
Ukraina	Artem Dovbyk	0
Ranska	Kylian Mbappé	1
Englanti	Harry Kane	1
Nigeria	Nwankwo Kanu	0
Belgia	Romelu Lukaku	0
Espanja	Álvaro Morata	1
Englanti	Jude Bellingham	1
Ranska	Olivier Giroud	0
Saksa	Kai Havertz	2
Slovenia	Benjamin Šeško	0
Tanska	Rasmus Højlund	0
Puola	Robert Lewandowski	1
Saksa	Niclas Füllkrug	2
Ranska	Antoine Griezmann	0
Englanti	Phil Foden	0
Italia	Federico Chiesa	0
Saksa	Jamal Musiala	3
