respondent	guess
Aki	Saksa
Aki	Ranska
Anton	Saksa
Anton	Ranska
Atte	Belgia
Atte	Portugali
Eetu	Portugali
Eetu	Ranska
Elias	Ranska
Elias	Saksa
Janne	Ranska
Janne	Portugali
Maria	Portugali
Maria	Ranska
Miika	Portugali
Miika	Ranska
Olli	Portugali
Olli	Ranska
Ossi	Ranska
Ossi	Saksa
Petteri	Saksa
Petteri	Ranska
Teemu	Ranska
Teemu	Portugali
Ville	Ranska
Ville	Englanti
